"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"Y"
238.1	0	0	185.7	0	1118.8	789.3	28	17.58
190	190	0	228	0	932	670	90	42.33
290.2	193.5	0	185.7	0	998.2	704.3	28	33.04
314	0	113	170	10	925	783	28	38.46
153	145	113	178	8	867	824	28	26.23
178	129.8	118.6	179.9	3.6	1007.3	746.8	100	49.99
366	187	0	191	7	824	757	28	65.91
252	97	76	194	8	835	821	28	33.4
290.2	193.5	0	185.7	0	998.2	704.3	7	21.86
155	0	143	193	9	1047	697	28	12.46
362.6	189	0	164.9	11.6	944.7	755.8	7	55.9
165	128.5	132.1	175.1	8.1	1005.8	746.6	14	33.09
153	145	113	178	8	1002	689	28	25.56
246.8	0	125.1	143.3	12	1086.8	800.9	56	60.32
143	169.4	142.7	190.7	8.4	967.4	643.5	28	29.73
168	42.1	163.8	121.8	5.7	1058.7	780.1	28	24.24
480	0	0	192	0	936.2	712.2	90	54.32
233.8	0	94.6	197.9	4.6	947	852.2	28	22.84
212.5	0	100.4	159.3	8.7	1007.8	903.6	100	42.92
135.7	203.5	0	185.7	0	1076.2	759.3	7	7.51
427.5	47.5	0	228	0	932	594	7	35.08
172.4	13.6	172.4	156.8	4.1	1006.3	856.4	100	37.68
277.1	0	97.4	160.6	11.8	973.9	875.6	14	41.89
236	0	0	193	0	968	885	365	25.08
168	42.1	163.8	121.8	5.7	1058.7	780.1	100	39.23
298	0	107	164	13	953	784	28	35.86
349	0	0	192	0	1047	806	7	18.13
387	20	94	157	14.3	938	845	28	50.24
339	0	0	197	0	968	781	365	38.89
152	0	112	184	8	992	816	28	12.18
290.4	0	96.2	168.1	9.4	961.2	865	28	34.74
212	0	124.8	159	7.8	1085.4	799.5	56	45.08
297	0	0	186	0	1040	734	7	30.96
251.4	0	118.3	192.9	5.8	1043.6	754.3	28	33.27
213.7	0	174.7	154.8	10.2	1053.5	776.4	14	33.73
491	26	123	210	3.9	882	699	28	55.55
389.9	189	0	145.9	22	944.7	755.8	3	40.6
393	0	0	192	0	940	758	3	19.11
272.8	181.9	0	185.7	0	1012.4	714.3	7	19.77
310	143	0	168	10	914	804	28	45.3
166.1	0	163.3	176.5	4.5	1058.6	780.1	28	21.54
313	145	0	127	8	1000	822	28	44.52
359	19	141	154	10.9	942	801	56	66.78
313	145	0	178	8	867	824	28	44.39
323.7	282.8	0	183.8	10.3	942.7	659.9	56	80.2
427.5	47.5	0	228	0	932	594	28	37.43
339	0	0	185	0	1069	754	7	21.16
190.7	0	125.4	162.1	7.8	1090	804	3	15.04
135	0	166	180	10	961	805	28	13.29
